Year,RoundNumber,EventName,TrainingRaces,TrainingWindows,ValidationWindows,FeaturesUsed,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
2023,14,Italian Grand Prix,114,22066,168,148,1.2010313522332265,1.7105459403967176,1.2976190476190477,7.443455424228418,19.095613000099547
2023,15,Singapore Grand Prix,115,22234,192,148,0.9790360490474512,1.4703595945296268,0.796875,-22.85942576281741,17.945017499965616
2023,16,Japanese Grand Prix,116,22426,147,148,1.0797731430709043,1.6482571161259998,1.3945578231292517,22.572364862720516,18.816740399925038
2023,17,Qatar Grand Prix,117,22573,177,148,2.3697794497958475,3.4574854450642087,2.785310734463277,14.91866884100101,18.117404900025576
2023,18,United States Grand Prix,118,22750,179,148,1.2018932986843658,1.84232378529217,1.553072625698324,22.611906307733285,17.74339570000302
2023,19,Mexico City Grand Prix,119,22929,233,148,1.073009073431479,1.6949665276520958,1.0171673819742488,-5.489921565204486,17.308594499947503
2023,20,São Paulo Grand Prix,120,23162,200,148,0.8534322618661107,1.3149298649518961,0.91,6.216234959768063,18.253310700063594
2023,21,Las Vegas Grand Prix,121,23362,169,148,1.606086237018659,2.367078826424997,1.8579881656804733,13.557778963008476,20.47162640001625
2023,22,Abu Dhabi Grand Prix,122,23531,200,148,1.6350102303360428,2.4721438941387515,2.15,23.953012542509637,19.000741600058973
2024,1,Bahrain Grand Prix,123,23731,200,148,1.0448398432652128,1.6950180628858875,1.17,10.697449293571546,19.831764200003818
2024,2,Saudi Arabian Grand Prix,124,23931,156,148,0.9508257959319155,1.4811522370878616,0.6923076923076923,-37.34150385683225,20.956921000033617
2024,3,Australian Grand Prix,125,24087,172,148,1.1605829537719807,1.9369884852415507,1.2267441860465116,5.393237891573132,20.318187099997886
2024,4,Japanese Grand Prix,126,24259,154,148,1.2126450176657537,1.6003357958741442,1.3116883116883118,7.5508253858781895,17.197757699992508
2024,5,Chinese Grand Prix,127,24413,181,148,1.2544746022072448,2.072543240578282,1.5082872928176796,16.827874359153366,19.533205899992026
2024,6,Miami Grand Prix,128,24594,194,148,1.1774147385222051,1.8222304543216394,1.0824742268041236,-8.770694892051338,19.564975499990396
2024,7,Emilia Romagna Grand Prix,129,24788,218,148,1.0380998579181202,1.5267172233735191,0.926605504587156,-12.032558923836735,17.796222100034356
2024,8,Monaco Grand Prix,130,25006,224,148,0.4601121276112375,0.6805537541431149,0.10714285714285714,-329.43798577048835,19.283808800042607
2024,9,Canadian Grand Prix,131,25230,231,148,0.9312939243638194,1.457453029449415,0.8787878787878788,-5.974825875882899,17.633082999964245
2024,10,Spanish Grand Prix,132,25461,239,148,1.1641538312001878,1.660048510375562,1.4309623430962344,18.64539015881729,17.719497499987483
2024,11,Austrian Grand Prix,133,25700,257,148,1.1708150329039015,1.721787338582023,1.206225680933852,2.93565694957977,20.174381299992092
2024,12,British Grand Prix,134,25957,167,148,0.750921979508431,1.1174029616863423,0.5449101796407185,-37.806561074624156,19.014855399960652
2024,13,Hungarian Grand Prix,135,26124,244,148,1.2562980669247086,1.956507328530457,1.290983606557377,2.686752911228918,20.880288499989547
2024,14,Belgian Grand Prix,136,26368,133,148,1.356143834350047,1.8216242166605319,1.7894736842105263,24.215491609850318,20.51838229992427
2024,15,Dutch Grand Prix,137,26501,260,148,0.92785932267406,1.4710730159908363,0.9384615384615385,1.1297443052231126,19.25065160007216
2024,16,Italian Grand Prix,138,26761,171,148,1.3245771855806672,1.850473547866419,1.5263157894736843,13.21735680678388,21.095627200091258
2024,17,Azerbaijan Grand Prix,139,26932,169,148,1.0736129987171579,1.4644393710205053,0.9940828402366864,-8.000355228095051,20.791453800047748
2024,18,Singapore Grand Prix,140,27101,210,148,1.023903555042398,1.6648487325040777,0.9714285714285714,-5.4018365484821524,21.555478799971752
2024,19,United States Grand Prix,141,27311,190,148,1.180472102540021,1.6981440356462023,1.168421052631579,-1.031396163335133,21.198420000029728
2024,20,Mexico City Grand Prix,142,27501,223,148,0.9528215365479008,1.5205188519248958,0.8834080717488789,-7.857463274204,21.218903000000864
2024,21,São Paulo Grand Prix,143,27724,196,148,0.9887702674504784,1.5170552121837921,0.7959183673469388,-24.230110525829332,21.111797100049444
2024,22,Las Vegas Grand Prix,144,27920,166,148,1.9053870708815932,2.982858781738593,2.4457831325301207,22.09501138759989,18.33413400000427
2024,23,Qatar Grand Prix,145,28086,162,148,1.455888180817784,2.010572992418027,0.9444444444444444,-54.15286620423595,18.410230899928138
2024,24,Abu Dhabi Grand Prix,146,28248,179,148,1.213206803400509,1.8126013961130194,1.2737430167597765,4.752623768117932,19.115633700042963
2025,1,Australian Grand Prix,147,28427,161,148,1.0708449365544552,2.073551820889545,0.8819875776397516,-21.412700553005134,18.453253700048663
2025,2,Chinese Grand Prix,148,28588,190,148,1.2157896562391783,1.9962559818625272,1.3473684210526315,9.765611450998481,20.714023199980147
